asin,review_id,rating,title,body,verified_purchase,date,helpful_votes,images
B01LP0VI3G,R1234567,5,とても良いヨガマット,厚みがあって膝が痛くならない。滑り止めも効果的で安定感があります。,True,2025-01-05,10,0
B01LP0VI3G,R1234568,4,コスパ良い,価格の割に品質が良い。少し匂いが気になるが数日で消える。,True,2025-01-04,5,0
B01LP0VI3G,R1234569,3,普通,可もなく不可もなく。もう少し厚みがあると良かった。,True,2025-01-03,2,0
B01LP0VI3G,R1234570,2,サイズが小さい,思ったより小さくて身長170cm以上の人には不向き。素材は悪くない。,True,2025-01-02,8,1
B01LP0VI3G,R1234571,1,すぐに破れた,2週間で端が破れてしまった。耐久性に問題あり。返品したい。,True,2025-01-01,15,2
B01N7EQ8CK,R2234567,5,最高のフィットネスバンド,強度が段階的に選べて便利。筋トレの幅が広がりました。,True,2025-01-06,12,0
B01N7EQ8CK,R2234568,4,良い商品,使いやすいが、最強レベルは本当に強い。初心者は注意。,True,2025-01-05,7,0
B01N7EQ8CK,R2234569,3,ゴムの匂いが強い,機能は問題ないがゴム臭が1ヶ月経っても取れない。,True,2025-01-04,3,0
B01N7EQ8CK,R2234570,2,すぐに伸びる,3ヶ月で伸びてしまい、強度が落ちた。耐久性に疑問。,True,2025-01-03,10,1
B01N7EQ8CK,R2234571,1,不良品,1本だけ明らかに弱い。検品をしっかりしてほしい。,True,2025-01-02,20,0
